urlid,dfc-b:name,dfc-b:hasDescription,dfc-b:email,dfc-b:VATnumber,dfc-b:VATStatus,ofn:contact_name,dfc-b:hasPhoneNumber,dfc-b:websitePage
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,Somerset Levels Collective,Small agroecological farm supplying Norwich and surrounds.,hello@somerset-levels-norwich.example,GB386379402,false,Callum Davies,+44 1654 263032,https://www.somerset-levels-norwich.example
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/,Wye Valley Pastures,Small agroecological farm supplying Bristol and surrounds.,hello@wye-valley-bristol.example,GB618495931,false,Ffion Evans,+44 1034 183667,https://www.wye-valley-bristol.example
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/,Bramble Hill Market Garden,Community market garden and orchard serving Lewes box scheme.,hello@bramble-hill-lewes.example,GB928327648,false,Sam Hughes,+44 1350 340174,https://www.bramble-hill-lewes.example
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/,Blackdown Hills Orchard,Pasture-fed livestock and seasonal veg from the Somerset hills.,hello@blackdown-hills-bath.example,GB238849696,false,Priya Brown,+44 1532 634277,https://www.blackdown-hills-bath.example
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/,Cotswold Edge Dairy,"Family-run holding on the edge of Gloucestershire, organic since 2018.",hello@cotswold-edge-stroud.example,GB848018451,false,Lena Brown,+44 1462 575763,https://www.cotswold-edge-stroud.example
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/,Cornish Hedgerow Produce,"Family-run holding on the edge of North Yorkshire, organic since 2018.",hello@cornish-hedgerow-york.example,GB252880957,false,Lena Hughes,+44 1015 972064,https://www.cornish-hedgerow-york.example
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/,Tamar Valley Smallholding,Small agroecological farm supplying Frome and surrounds.,hello@tamar-valley-frome.example,GB782489638,false,Jon O'Leary,+44 1346 804314,https://www.tamar-valley-frome.example
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,Northumbrian Moor Free Range,Pasture-fed livestock and seasonal veg from the Kent hills.,hello@northumbrian-moor-canterbury.example,GB103105183,false,Priya Khan,+44 1473 665427,https://www.northumbrian-moor-canterbury.example
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/,Weald & Down Organics,Small agroecological farm supplying Hereford and surrounds.,hello@weald-down-hereford.example,GB670106513,false,Tom Morgan,+44 1338 570405,https://www.weald-down-hereford.example
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/,Moorland Field Farm,"Family-run holding on the edge of Devon, organic since 2018.",hello@moorland-field-totnes.example,GB132677360,false,Sam Hughes,+44 1260 509386,https://www.moorland-field-totnes.example
